model,release_date,attention_class,curve_status,context_limit_tokens,total_layers,full_or_global_layers,local_or_chunked_layers,local_window_tokens,kv_heads,head_dim,mla_layers,mla_latent_dim,rope_dim,kda_layers,fixed_state_bytes,bf16_formula_bytes,bf16_max_context_gib,full_retention_upper_gib,reported_relative_kv_ratio,source,notes
Llama 2 70B,2023-07-18,GQA full attention,exact,4096,80,80,0,,8,128,,,,,0,"N*2*80*8*128*2",1.25,1.25,,https://arxiv.org/abs/2307.09288,"Logical single-sequence BF16 KV; no TP/PP replication."
Mistral 7B v0.1,2023-09-27,GQA sliding-window attention,policy_dependent,32768,32,0,32,4096,8,128,,,,,0,"min(N,4096)*2*32*8*128*2",0.5,4.0,,https://huggingface.co/mistralai/Mistral-7B-v0.1/blob/main/config.json,"0.5 GiB assumes an efficient rolling cache. A backend retaining all historical KV reaches the 4.0 GiB upper bound."
Mixtral 8x7B v0.1,2023-12-11,GQA full attention,exact,32768,32,32,0,,8,128,,,,,0,"N*2*32*8*128*2",4.0,4.0,,https://huggingface.co/mistralai/Mixtral-8x7B-v0.1/blob/main/config.json,"MoE sparsity does not change this attention-cache formula."
Llama 3 70B,2024-04-18,GQA full attention,exact,8192,80,80,0,,8,128,,,,,0,"N*2*80*8*128*2",2.5,2.5,,https://arxiv.org/abs/2407.21783,"Logical single-sequence BF16 KV."
DeepSeek-V2,2024-05-06,MLA full attention,analytical,131072,60,60,0,,,,60,512,64,,0,"N*60*(512+64)*2",8.4375,,,https://huggingface.co/deepseek-ai/DeepSeek-V2/blob/main/config.json,"Stores one compressed latent plus a decoupled RoPE key component per layer and token."
Llama 3.1 405B,2024-07-23,GQA full attention,exact,131072,126,126,0,,8,128,,,,,0,"N*2*126*8*128*2",63.0,63.0,,https://ai.meta.com/research/publications/the-llama-3-herd-of-models/,"Logical single-sequence BF16 KV."
Qwen2.5-72B,2024-09-19,GQA full attention,exact,131072,80,80,0,,8,128,,,,,0,"N*2*80*8*128*2",40.0,40.0,,https://huggingface.co/Qwen/Qwen2.5-72B/blob/main/config.json,"Uses the 128K base checkpoint metadata."
DeepSeek-V3,2024-12-26,MLA full attention,analytical,131072,61,61,0,,,,61,512,64,,0,"N*61*(512+64)*2",8.578125,,,https://huggingface.co/deepseek-ai/DeepSeek-V3/blob/main/config.json,"BF16 architecture-normalized result; allocator and block overhead are excluded."
Gemma 3 27B,2025-03-12,GQA hybrid local/global attention,exact_if_rolling,131072,62,10,52,1024,16,128,,,,,0,"2*16*128*2*(10*N+52*min(N,1024))",10.40625,62.0,,https://github.com/google-deepmind/gemma/blob/main/gemma/gm/nn/_gemma.py,"The 62-layer stack contains ten complete 5-local+1-global groups plus two local layers."
Llama 4 Scout,2025-04-05,GQA hybrid chunked/full attention,exact_if_rolling,10485760,48,12,36,8192,8,128,,,,,0,"2*8*128*2*(12*N+36*min(N,8192))",481.125,1920.0,,https://github.com/meta-pytorch/torchtune/blob/main/torchtune/models/llama4/_model_builders.py,"The 10M curve assumes chunked-layer KV is retained only for the active 8192-token chunk."
Qwen3-235B-A22B,2025-04-29,GQA full attention,extended_context,131072,94,94,0,,4,128,,,,,0,"N*2*94*4*128*2",23.5,23.5,,https://qwenlm.github.io/blog/qwen3/,"Official release table supports 128K; the initial checkpoint config reports max_position_embeddings=40960."
Kimi K2,2025-07-11,MLA full attention,analytical,131072,61,61,0,,,,61,512,64,,0,"N*61*(512+64)*2",8.578125,,,https://huggingface.co/moonshotai/Kimi-K2-Base/blob/main/config.json,"BF16 architecture-normalized result. Frontier's FP8-latent+BF16-RoPE scenario is 4.765625 GiB at 128K before physical TP replication."
DeepSeek-V4-Pro,2026-04-24,CSA+HCA hybrid,reported_relative_only,1048576,61,,,,,,,,,,0,"model-specific compressed-cache formula required",,,0.10,https://arxiv.org/abs/2606.19348,"The technical report states 10% of DeepSeek-V3.2 KV at 1M. Do not apply the ordinary GQA or MLA formula without accounting for CSA/HCA compression and the local branch."
Kimi K3,2026-07-16,KDA+MLA hybrid,analytical,1048576,93,24,0,,,,24,512,64,69,232316928,"232316928+N*24*(512+64)*2",27.216362,,,https://huggingface.co/moonshotai/Kimi-K3/blob/main/config.json,"The fixed KDA snapshot uses Frontier's native BF16 state calculation; the 24 MLA layers still grow linearly with context."
