release_date,model,developer,architecture,total_params_b,active_params_b,advertised_context_tokens,trained_or_native_context_tokens,checkpoint_max_position_embeddings,attention_family,release_source,architecture_source,notes
2023-07-18,Llama 2 70B,Meta,dense,70,70,4096,4096,4096,GQA,https://ai.meta.com/blog/llama-2/,https://arxiv.org/abs/2307.09288,"The 70B variant uses GQA; smaller Llama 2 variants use MHA."
2023-09-27,Mistral 7B v0.1,Mistral AI,dense,7.3,7.3,32768,,32768,GQA+sliding-window attention,https://mistral.ai/news/announcing-mistral-7b/,https://huggingface.co/mistralai/Mistral-7B-v0.1/blob/main/config.json,"Each layer attends to a 4096-token window. A rolling cache can cap resident KV even though the model accepts longer sequences."
2023-12-11,Mixtral 8x7B v0.1,Mistral AI,MoE,46.7,12.9,32768,32768,32768,GQA full attention,https://mistral.ai/news/mixtral-of-experts/,https://huggingface.co/mistralai/Mixtral-8x7B-v0.1/blob/main/config.json,"Sparse MoE changes weight compute and active parameters; it does not by itself reduce attention KV."
2024-04-18,Llama 3 70B,Meta,dense,70,70,8192,8192,8192,GQA full attention,https://ai.meta.com/blog/meta-llama-3/,https://arxiv.org/abs/2407.21783,"Llama 3 adopted GQA for both the 8B and 70B models."
2024-05-06,DeepSeek-V2,DeepSeek AI,MoE,236,21,131072,,163840,MLA full attention,https://github.com/deepseek-ai/DeepSeek-V2,https://huggingface.co/deepseek-ai/DeepSeek-V2/blob/main/config.json,"The checkpoint uses YaRN metadata with original_max_position_embeddings=4096; the released model is evaluated up to 128K."
2024-06-07,Qwen2-72B,Qwen,dense,72.71,72.71,131072,32768,131072,GQA full attention,https://qwenlm.github.io/blog/qwen2/,https://huggingface.co/Qwen/Qwen2-72B/blob/main/config.json,"The base model was pretrained at 32K; the 128K instruction capability uses YaRN and long-context evaluation."
2024-07-23,Llama 3.1 405B,Meta,dense,405,405,131072,131072,131072,GQA full attention,https://ai.meta.com/blog/meta-llama-3-1/,https://ai.meta.com/research/publications/the-llama-3-herd-of-models/,"Representative dense frontier-scale release."
2024-07-24,Mistral Large 2,Mistral AI,dense,123,123,131072,,131072,GQA full attention,https://mistral.ai/news/mistral-large-2407/,https://huggingface.co/mistralai/Mistral-Large-Instruct-2407,"Open weights under the Mistral Research License; retained here as a major open-weight release."
2024-09-19,Qwen2.5-72B,Qwen,dense,72.7,72.7,131072,,131072,GQA full attention,https://qwenlm.github.io/blog/qwen2.5/,https://huggingface.co/Qwen/Qwen2.5-72B/blob/main/config.json,"Use the base checkpoint for the 128K architecture record; some instruct checkpoint revisions defaulted to 32K without a long-context configuration."
2024-12-26,DeepSeek-V3,DeepSeek AI,MoE,671,37,131072,,163840,MLA full attention,https://deepseek.com/en/news/deepseek-v3/,https://huggingface.co/deepseek-ai/DeepSeek-V3/blob/main/config.json,"MLA keeps a compressed latent KV representation and a decoupled RoPE component."
2025-03-12,Gemma 3 27B,Google,dense,27,27,131072,131072,131072,GQA hybrid local/global attention,https://blog.google/innovation-and-ai/technology/developers-tools/gemma-3/,https://github.com/google-deepmind/gemma/blob/main/gemma/gm/nn/_gemma.py,"Five 1024-token local layers are followed by one global layer."
2025-04-05,Llama 4 Scout,Meta,MoE,109,17,10485760,262144,10485760,GQA hybrid chunked/full attention,https://ai.meta.com/blog/llama-4-multimodal-intelligence/,https://github.com/meta-pytorch/torchtune/blob/main/torchtune/models/llama4/_model_builders.py,"Pretrained and post-trained at 256K; 10M is a supported length-generalization target. Three of every four layers use 8192-token chunked attention."
2025-04-29,Qwen3-235B-A22B,Qwen,MoE,235,22,131072,32768,40960,GQA full attention,https://qwenlm.github.io/blog/qwen3/,https://huggingface.co/Qwen/Qwen3-235B-A22B/blob/main/config.json,"The official release table reports 128K; long-context data extended pretraining to 32K and the initial checkpoint config reports 40960."
2025-07-11,Kimi K2,Moonshot AI,MoE,1040,32,131072,,131072,MLA full attention,https://github.com/MoonshotAI/Kimi-K2,https://huggingface.co/moonshotai/Kimi-K2-Base/blob/main/config.json,"The public report describes approximately 1T total parameters; 1.04T is used here."
2026-04-24,DeepSeek-V4-Pro,DeepSeek AI,MoE,1600,49,1048576,1048576,1048576,compressed sparse attention+heavily compressed attention,https://deepseek.com/en/news/v4-preview/,https://huggingface.co/docs/transformers/model_doc/deepseek_v4,"The official report gives compression rates and a 1M-context relative KV result; use a model-specific formula rather than the ordinary GQA formula."
2026-07-16,Kimi K3,Moonshot AI,MoE,2800,,1048576,1048576,1048576,KDA+Gated MLA hybrid,https://www.kimi.com/en/blog/kimi-k3,https://huggingface.co/moonshotai/Kimi-K3/blob/main/config.json,"69 KDA layers and 24 full-attention MLA layers. Active-parameter count is left blank because the cited launch materials do not state one directly."
